"Threshold","True_Positives","False_Positives","True_Negatives","False_Negatives","Accuracy","Precision","Recall","F1_Score","FDR","Experiment"
0.02,370,24,9074,529,0.944683405021506,0.939086294416244,0.411568409343715,0.5723124516628,0.0609137055837563,"6_500_500"
0.03,387,32,9066,512,0.945583675102531,0.9236276849642,0.430478309232481,0.587253414264036,0.0763723150357995,"6_500_500"
0.04,396,42,9056,503,0.945483645093528,0.904109589041096,0.440489432703003,0.592370979805535,0.0958904109589041,"6_500_500"
0.05,405,51,9047,494,0.945483645093528,0.888157894736842,0.450500556173526,0.597785977859779,0.111842105263158,"6_500_500"
0.06,408,56,9042,491,0.945283585075523,0.879310344827586,0.453837597330367,0.598679383712399,0.120689655172414,"6_500_500"
0.07,418,61,9037,481,0.945783735120536,0.872651356993737,0.46496106785317,0.606676342525399,0.127348643006263,"6_500_500"
0.08,421,69,9029,478,0.945283585075523,0.859183673469388,0.468298109010011,0.606191504679626,0.140816326530612,"6_500_500"
0.09,427,73,9025,472,0.945483645093528,0.854,0.474972191323693,0.610436025732666,0.146,"6_500_500"
0.01,355,20,8990,632,0.934780434130239,0.946666666666667,0.3596757852077,0.52129221732746,0.0533333333333333,"6_750_250"
0.02,379,31,8979,608,0.936080824247274,0.924390243902439,0.383991894630193,0.542591267000716,0.075609756097561,"6_750_250"
0.03,391,41,8969,596,0.93628088426528,0.905092592592593,0.396149949341439,0.551092318534179,0.0949074074074074,"6_750_250"
0.04,403,46,8964,584,0.936981094328298,0.897550111358575,0.408308004052685,0.561281337047354,0.102449888641425,"6_750_250"
0.05,415,53,8957,572,0.937481244373312,0.886752136752137,0.420466058763931,0.570446735395189,0.113247863247863,"6_750_250"
0.06,419,61,8949,568,0.937081124337301,0.872916666666667,0.42451874366768,0.571233810497614,0.127083333333333,"6_750_250"
0.07,424,63,8947,563,0.937381214364309,0.870636550308008,0.429584599797366,0.575305291723202,0.129363449691992,"6_750_250"
0.08,426,72,8938,561,0.93668100430129,0.855421686746988,0.43161094224924,0.573737373737374,0.144578313253012,"6_750_250"
0.09,431,77,8933,556,0.93668100430129,0.848425196850394,0.436676798378926,0.576588628762542,0.151574803149606,"6_750_250"
0.01,331,20,8982,663,0.931672669067627,0.943019943019943,0.332997987927565,0.492193308550186,0.056980056980057,"6_1000_0"
0.02,358,34,8968,636,0.93297318927571,0.913265306122449,0.360160965794769,0.516594516594517,0.086734693877551,"6_1000_0"
0.03,373,43,8959,621,0.933573429371749,0.896634615384615,0.375251509054326,0.529078014184397,0.103365384615385,"6_1000_0"
0.04,386,49,8953,608,0.934273709483794,0.88735632183908,0.388329979879276,0.540237928621414,0.11264367816092,"6_1000_0"
0.05,391,57,8945,603,0.933973589435774,0.872767857142857,0.393360160965795,0.542302357836338,0.127232142857143,"6_1000_0"
0.06,399,64,8938,595,0.934073629451781,0.861771058315335,0.401408450704225,0.547700754975978,0.138228941684665,"6_1000_0"
0.07,409,68,8934,585,0.934673869547819,0.857442348008386,0.411468812877264,0.556084296397009,0.142557651991614,"6_1000_0"
0.08,416,72,8930,578,0.934973989595838,0.852459016393443,0.41851106639839,0.56140350877193,0.147540983606557,"6_1000_0"
0.09,424,78,8924,570,0.935174069627851,0.844621513944223,0.426559356136821,0.566844919786096,0.155378486055777,"6_1000_0"
0.01,423,13,9008,553,0.943383014904471,0.970183486238532,0.433401639344262,0.599150141643059,0.0298165137614679,"9_500_500"
0.02,447,24,8997,529,0.944683405021506,0.949044585987261,0.457991803278689,0.61782999308915,0.0509554140127389,"9_500_500"
0.03,457,27,8994,519,0.945383615084525,0.944214876033058,0.468237704918033,0.626027397260274,0.0557851239669422,"9_500_500"
0.04,462,29,8992,514,0.945683705111533,0.940936863543788,0.473360655737705,0.629856850715746,0.0590631364562118,"9_500_500"
0.05,465,33,8988,511,0.945583675102531,0.933734939759036,0.476434426229508,0.630936227951153,0.0662650602409639,"9_500_500"
0.06,472,38,8983,504,0.945783735120536,0.925490196078431,0.483606557377049,0.635262449528937,0.0745098039215686,"9_500_500"
0.07,479,40,8981,497,0.94628388516555,0.922928709055877,0.49077868852459,0.640802675585284,0.0770712909441233,"9_500_500"
0.08,482,41,8980,494,0.946483945183555,0.921606118546845,0.493852459016393,0.643095396931287,0.0783938814531549,"9_500_500"
